name,price,year,mileage,specs,city,seller,link
Skoda Octavia IV (A8),2070000,2022,49900,"['1.4 л, 150 л.с., бензин', 'Лифтбек', 'Передний привод', 'Автомат']",Москва,GROMOV IMPORT,https://auto.ru/cars/used/sale/skoda/octavia/1131556321-7c298b2a/
Hyundai Solaris II,953700,2018,158735,"['1.6 л, 123 л.с., бензин', 'Седан', 'Передний привод', 'Автомат']",Москва,АО Банк Инго,https://auto.ru/cars/used/sale/hyundai/solaris/1131185305-def060af/
Mercedes-Benz V-Класс Extra Long 300 d экстра длинный III (W447) Рестайлинг 2,46850000,2024,100,"['2.0 л, 237 л.с., дизель', 'Минивэн', 'Полный привод', 'Автомат']",Москва,А1 АВТО,https://auto.ru/cars/used/sale/mercedes/v_klasse/1131360198-a967f863/
BMW X5 48i II (E70),550000,2007,220000,"['4.8 л, 355 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Irvineflora,https://auto.ru/cars/used/sale/bmw/x5/1101893365-4a55c376/
Lada (ВАЗ) Kalina I,200000,2006,150000,"['1.6 л, 81 л.с., бензин', 'Седан', 'Передний привод', 'Механика']",Москва,петр л.,https://auto.ru/cars/used/sale/vaz/kalina/1131722778-05532fb6/
Chevrolet Cruze I,610000,2012,189500,"['1.6 л, 109 л.с., бензин', 'Седан', 'Передний привод', 'Механика']",Москва,Частное лицо,https://auto.ru/cars/used/sale/chevrolet/cruze/1131722841-ac14dc37/
Skoda Superb III,1650000,2018,136000,"['1.8 л, 180 л.с., бензин', 'Лифтбек', 'Передний привод', 'Робот']",Москва,Денис,https://auto.ru/cars/used/sale/skoda/superb/1131717281-39dbd7fa/
Xiaomi SU7 I,6316167,2024,11617,"['673 л.с., 495 кВт, электро', 'Седан', 'Полный привод', 'Заряд на 800 км']",Москва,РОЛЬФ Мегамолл Юго-Восток | Автомобили с пробегом,https://auto.ru/cars/used/sale/xiaomi/su7/1131351270-c575d5df/
Nissan Serena V (C27) Рестайлинг,2800000,2020,77000,"['1.2 л, 136 л.с., гибрид', 'Минивэн', 'Передний привод', 'Автомат']",Москва,Андрей,https://auto.ru/cars/used/sale/nissan/serena/1131717340-2ab194c5/
Porsche Macan I,5000000,2016,33200,"['2.0 л, 252 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Робот']",Москва,Люда С,https://auto.ru/cars/used/sale/porsche/macan/1131722851-5745b758/
Opel Astra J,550000,2011,154000,"['1.4 л, 140 л.с., бензин', 'Хэтчбек 5 дв.', 'Передний привод', 'Автомат']",Москва,Александр Крюков,https://auto.ru/cars/used/sale/opel/astra/1131722746-7d28cbbc/
Xiaomi SU7 I,5600000,2024,23000,"['673 л.с., 495 кВт, электро', 'Седан', 'Полный привод', 'Заряд на 800 км']",Москва,Вячеслав,https://auto.ru/cars/used/sale/xiaomi/su7/1131169613-2cc9ce27/
Opel Antara I Рестайлинг,999000,2013,150000,"['2.2 л, 184 л.с., дизель', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Auto Expert,https://auto.ru/cars/used/sale/opel/antara/1131721447-6f6b52c4/
Lada (ВАЗ) 2115,49990,2006,111111,"['1.5 л, 78 л.с., бензин', 'Седан', 'Передний привод', 'Механика']",Москва,Дмитрий ,https://auto.ru/cars/used/sale/vaz/2115/1131717065-c17a3659/
Honda Stepwgn V,1650000,2016,66796,"['1.5 л, 150 л.с., бензин', 'Минивэн', 'Передний привод', 'Вариатор']",Москва,Yaroslav Gus,https://auto.ru/cars/used/sale/honda/stepwagon/1131229689-341e954a/
Nissan X-Trail III,2500000,2017,158900,"['2.5 л, 171 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Вариатор']",Москва,Светлана А.,https://auto.ru/cars/used/sale/nissan/x_trail/1131720523-01ca2e3e/
Mazda 6 II (GH),685000,2008,250000,"['2.0 л, 147 л.с., бензин', 'Седан', 'Передний привод', 'Автомат']",Москва,Частное лицо,https://auto.ru/cars/used/sale/mazda/6/1131722667-d490668c/
Xiaomi SU7 I,6500000,2024,5000,"['673 л.с., 495 кВт, электро', 'Седан', 'Полный привод', 'Заряд на 800 км']",Москва,Андрей,https://auto.ru/cars/used/sale/xiaomi/su7/1129535224-77f594c1/
Kia K5 III,2200000,2021,74000,"['2.0 л, 150 л.с., бензин', 'Седан', 'Передний привод', 'Автомат']",Москва,Anisimova Elena,https://auto.ru/cars/used/sale/kia/k5/1131717072-cc57eaf0/
Xiaomi SU7 I,7273055,2024,209,"['673 л.с., 495 кВт, электро', 'Седан', 'Полный привод', 'Заряд на 800 км']",Москва,FRESH Москва,https://auto.ru/cars/used/sale/xiaomi/su7/1131262957-65c74a09/
Jeep Wrangler IV (JL),5500000,2021,115000,"['2.0 л, 381 л.с., гибрид', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Сергей,https://auto.ru/cars/used/sale/jeep/wrangler/1131720601-214855d2/
JAC T9,3100000,2024,19000,"['2.0 л, 224 л.с., бензин', 'Пикап двойная кабина', 'Полный привод', 'Автомат']",Москва,Дмитрий,https://auto.ru/cars/used/sale/jac/t9/1131722849-461d48e8/
Nissan Qashqai II,1249000,2014,143000,"['1.6 л, 130 л.с., дизель', 'Внедорожник 5 дв.', 'Передний привод', 'Вариатор']",Москва,Auto Expert,https://auto.ru/cars/used/sale/nissan/qashqai/1131721440-0a9e494f/
Subaru Outback III Рестайлинг,650000,2008,354000,"['2.5 л, 173 л.с., бензин', 'Универсал 5 дв.', 'Полный привод', 'Автомат']",Москва,Антон,https://auto.ru/cars/used/sale/subaru/outback/1131721127-4389e572/
Mercedes-Benz V-Класс Extra Long 250 d экстра длинный III (W447),3600000,2017,291000,"['2.1 л, 190 л.с., дизель', 'Минивэн', 'Полный привод', 'Автомат']",Москва,Никита З.,https://auto.ru/cars/used/sale/mercedes/v_klasse/1131722604-3717c84b/
Honda Freed II Рестайлинг,1850000,2019,74000,"['1.5 л, 110 л.с., гибрид', 'Компактвэн', 'Передний привод', 'Робот']",Москва,Максим Ваксман,https://auto.ru/cars/used/sale/honda/freed/1131720376-add34c52/
Mercedes-Benz 190 SL R121,25000000,1960,6500,"['1.9 л, 105 л.с., бензин', 'Родстер', 'Задний привод', 'Механика']",Москва,Частное лицо,https://auto.ru/cars/used/sale/mercedes/190_sl/1127070172-11750b63/
Audi A7 S-tronic I (4G),2120000,2013,180000,"['3.0 л, 245 л.с., дизель', 'Лифтбек', 'Полный привод', 'Робот']",Москва,Частное лицо,https://auto.ru/cars/used/sale/audi/a7/1127568033-e202a80d/
Infiniti Q50 I,2700000,2017,125000,"['3.0 л, 405 л.с., бензин', 'Седан', 'Полный привод', 'Автомат']",Москва,Илья,https://auto.ru/cars/used/sale/infiniti/q50/1100179948-0a7f623b/
Mitsubishi Outlander III Рестайлинг 2,2250000,2018,103580,"['2.0 л, 146 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Вариатор']",Москва,500238 Поврезнюк,https://auto.ru/cars/used/sale/mitsubishi/outlander/1131720582-b0ae61ec/
Kia Ceed I Рестайлинг,605000,2011,105185,"['1.6 л, 122 л.с., бензин', 'Хэтчбек 5 дв.', 'Передний привод', 'Автомат']",Москва,Данила,https://auto.ru/cars/used/sale/kia/ceed/1131720182-48e8a950/
Mini Hatch Cooper III (F55/F56),1130000,2014,226000,"['1.5 л, 136 л.с., бензин', 'Хэтчбек 3 дв.', 'Передний привод', 'Автомат']",Москва,Частное лицо,https://auto.ru/cars/used/sale/mini/hatch/1117046839-18237d63/
Audi A5 I (8T),850000,2009,188000,"['1.8 л, 160 л.с., бензин', 'Купе', 'Передний привод', 'Вариатор']",Москва,максим христенко,https://auto.ru/cars/used/sale/audi/a5/1131655137-bc38f24e/
Skoda Kodiaq I Рестайлинг,2675000,2021,103185,"['1.4 л, 150 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Робот']",Москва,РОЛЬФ Юг | Автомобили с пробегом,https://auto.ru/cars/used/sale/skoda/kodiaq/1131722195-a2c9321c/
Mazda 6 III (GJ) Рестайлинг,1749000,2016,114000,"['2.5 л, 192 л.с., бензин', 'Седан', 'Передний привод', 'Автомат']",Москва,Auto Expert,https://auto.ru/cars/used/sale/mazda/6/1131721445-4e6bef58/
Mercedes-Benz GLA 250 II (H247),3300000,2020,75000,"['2.0 л, 224 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Робот']",Москва,Алексей,https://auto.ru/cars/used/sale/mercedes/gla_class/1131717756-76e9c45e/
Mercedes-Benz S-Класс 350 Long V (W221),700000,2005,365000,"['3.5 л, 272 л.с., бензин', 'Седан', 'Задний привод', 'Автомат']",Москва,Asadasad,https://auto.ru/cars/used/sale/mercedes/s_klasse/1131720402-d036b81d/
Dongfeng Huge,2700000,2025,4,"['1.5 л, 197 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Робот']",Москва,Аванта Премиум Livan,https://auto.ru/cars/used/sale/dongfeng/huge/1131706344-a12c72b8/
Xiaomi SU7 I,6350000,2024,7878,"['673 л.с., 495 кВт, электро', 'Седан', 'Полный привод', 'Заряд на 800 км']",Москва,PELETON,https://auto.ru/cars/used/sale/xiaomi/su7/1131557722-14c700cc/
Ford Focus III,670000,2015,250000,"['2.0 л, 150 л.с., бензин', 'Хэтчбек 5 дв.', 'Передний привод', 'Робот']",Москва,Виктор Г.,https://auto.ru/cars/used/sale/ford/focus/1131713892-914efeff/
Land Rover Range Rover Velar I,4500000,2019,87000,"['3.0 л, 275 л.с., дизель', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Елизавета,https://auto.ru/cars/used/sale/land_rover/range_rover_velar/1128873456-68783a50/
JETOUR X70+ I Рестайлинг,2045000,2023,22626,"['1.6 л, 190 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Робот']",Москва,Максим,https://auto.ru/cars/used/sale/jetour/x70_plus/1131715012-89879ba4/
Opel Antara I,760000,2008,216000,"['2.4 л, 140 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,sskuznecov,https://auto.ru/cars/used/sale/opel/antara/1131722627-67cd33ab/
Maserati Quattroporte V,3950000,2007,84500,"['4.2 л, 400 л.с., бензин', 'Седан', 'Задний привод', 'Автомат']",Москва,AndreiVitebsky,https://auto.ru/cars/used/sale/maserati/quattroporte/1128588208-2179ef5e/
Infiniti Q50 I,1400000,2015,189000,"['2.0 л, 211 л.с., бензин', 'Седан', 'Задний привод', 'Автомат']",Москва,Частное лицо,https://auto.ru/cars/used/sale/infiniti/q50/1129077155-51722f6b/
Rolls-Royce Cullinan I,32000000,2022,14000,"['6.8 л, 571 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Снежана,https://auto.ru/cars/used/sale/rolls_royce/cullinan/1131711024-1d88e0be/
Maserati Quattroporte AMT V,2000000,2007,80000,"['4.2 л, 400 л.с., бензин', 'Седан', 'Задний привод', 'Робот']",Москва,Профессиональный продавец,https://auto.ru/cars/used/sale/maserati/quattroporte/1126558575-275da8de/
Peugeot 207 I Рестайлинг,450000,2010,75812,"['1.4 л, 90 л.с., бензин', 'Хэтчбек 5 дв.', 'Передний привод', 'Робот']",Москва,Константин,https://auto.ru/cars/used/sale/peugeot/207/1131720722-e5a7cc54/
Omoda C5 I Рестайлинг,1717000,2024,12918,"['1.5 л, 147 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Вариатор']",Москва,РОЛЬФ Дмитровка | Автомобили с пробегом,https://auto.ru/cars/used/sale/omoda/c5/1131717752-0a693f20/
Wey Coffee 01,4190000,2023,7070,"['2.0 л, 476 л.с., гибрид', 'Внедорожник 5 дв.', 'Полный привод', 'Робот']",Москва,дима в,https://auto.ru/cars/used/sale/wey/coffee_01/1129981496-0633fd82/
Honda Breeze I,3550000,2021,41000,"['1.5 л, 193 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Вариатор']",Москва,Частное лицо,https://auto.ru/cars/used/sale/honda/breeze/1131155062-bed2379b/
Dongfeng Fengon ix5,1800000,2024,10,"['1.5 л, 137 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Вариатор']",Москва,Аванта Премиум Livan,https://auto.ru/cars/used/sale/dongfeng/fengon_ix5/1131706675-bd4875c7/
Lada (ВАЗ) Vesta I,820000,2017,243600,"['1.6 л, 106 л.с., бензин', 'Седан', 'Передний привод', 'Механика']",Москва,Частное лицо,https://auto.ru/cars/used/sale/vaz/vesta/1131718081-0303f8fe/
Zeekr 9X 70 kWh,12499000,2025,11,"['2.0 л, 898 л.с., гибрид', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,GazTormoz,https://auto.ru/cars/used/sale/zeekr/9x/1131173962-737b95a7/
BYD Tang EV II Рестайлинг 2,4700000,2022,40000,"['517 л.с., 380 кВт, электро', 'Внедорожник 5 дв.', 'Полный привод', 'Заряд на 635 км']",Москва,Иван,https://auto.ru/cars/used/sale/byd/tang/1131720803-1fab7217/
Volkswagen Tiguan II,2200000,2019,57000,"['1.4 л, 125 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Механика']",Москва,Игорь Бенькович,https://auto.ru/cars/used/sale/volkswagen/tiguan/1131717608-03d8c2bd/
Subaru Outback IV,850000,2010,348000,"['2.5 л, 167 л.с., бензин', 'Универсал 5 дв.', 'Полный привод', 'Вариатор']",Москва,Аркадий,https://auto.ru/cars/used/sale/subaru/outback/1131717044-40d88dea/
Skoda Kodiaq RS I,4000000,2018,150000,"['2.0 л, 240 л.с., дизель', 'Внедорожник 5 дв.', 'Полный привод', 'Робот']",Москва,Инкогнито 5884,https://auto.ru/cars/used/sale/skoda/kodiaq_rs/1131260154-d4b5bdb5/
Lamborghini Temerario,65785400,2026,_,"['4.0 л, 920 л.с., гибрид', 'Купе', 'Полный привод', 'Робот']",Москва,GATE,https://auto.ru/cars/new/group/lamborghini/temerario/24002704/24003385/1131554571-1ce2d0ab/
Mercedes-Benz GLC 220 d I (X253) Рестайлинг,3700000,2019,220000,"['2.0 л, 194 л.с., дизель', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Талалаев Александр,https://auto.ru/cars/used/sale/mercedes/glc_klasse/1131717192-28cbdac7/
Cadillac ATS I,999990,2013,170000,"['2.0 л, 276 л.с., бензин', 'Седан', 'Полный привод', 'Автомат']",Москва,Владимир,https://auto.ru/cars/used/sale/cadillac/ats/1130989695-71e3724a/
Lada (ВАЗ) 2110,105000,2006,99000,"['1.6 л, 81 л.с., бензин', 'Седан', 'Передний привод', 'Механика']",Москва,Л. В.,https://auto.ru/cars/used/sale/vaz/2110/1131717221-178b5aee/
KGM Torres,3890000,2023,_,"['1.5 л, 170 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,РОЛЬФ Алтуфьево Мультибренд Премиум,https://auto.ru/cars/new/group/kgm/torres/23675901/23860401/1130442942-32b16f9b/
Land Rover Range Rover Evoque P250 MHEV Long II Рестайлинг,6120000,2025,1,"['2.0 л, 249 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,GazTormoz,https://auto.ru/cars/used/sale/land_rover/evoque/1131415745-8e509d79/
Maserati Quattroporte AMT V,2900000,2006,73200,"['4.2 л, 400 л.с., бензин', 'Седан', 'Задний привод', 'Робот']",Москва,Владимир,https://auto.ru/cars/used/sale/maserati/quattroporte/1130552459-6afacfa7/
Zeekr 9X 70 kWh,13900000,2025,_,"['2.0 л, 898 л.с., гибрид', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,West Stream,https://auto.ru/cars/new/group/zeekr/9x/24915838/24874701/1131344993-744ac683/
Audi A6 II (C5) Рестайлинг,545000,2003,500000,"['2.4 л, 170 л.с., бензин', 'Универсал 5 дв.', 'Полный привод', 'Механика']",Москва,shukshin,https://auto.ru/cars/used/sale/audi/a6/1078799057-3eda/
Lada (ВАЗ) Largus I Рестайлинг,1300000,2024,7000,"['1.6 л, 106 л.с., бензин', 'Универсал 5 дв.', 'Передний привод', 'Механика']",Москва,Частное лицо,https://auto.ru/cars/used/sale/vaz/largus/1131716627-9aff4c55/
Toyota HiAce H100,675000,1997,370000,"['3.0 л, 130 л.с., дизель', 'Минивэн', 'Задний привод', 'Автомат']",Москва,Дмитрий,https://auto.ru/cars/used/sale/toyota/hiace/1131719712-9ad30502/
Solaris HC,2989000,2025,_,"['2.0 л, 150 л.с., бензин', 'Внедорожник 5 дв.', 'Полный привод', 'Автомат']",Москва,Автодом Solaris Внуково,https://auto.ru/cars/new/group/solaris/hc/23892160/24015767/1131023178-ef99efa7/
Dongfeng Mage,2300000,2025,11,"['1.5 л, 197 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Робот']",Москва,Аванта Премиум Livan,https://auto.ru/cars/used/sale/dongfeng/mage/1131706447-3d6c5b4d/
Geely Haoyue L I,2340000,2023,93856,"['2.0 л, 218 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Робот']",Москва,Фомин К.,https://auto.ru/cars/used/sale/geely/haoyue_l/1131397303-f3d5d889/
Porsche Panamera Turbo I,2400000,2012,85000,"['4.8 л, 500 л.с., бензин', 'Лифтбек', 'Полный привод', 'Робот']",Москва,Big,https://auto.ru/cars/used/sale/porsche/panamera/1131714418-a339e5ff/
Infiniti Q60 II,2250000,2016,200000,"['2.0 л, 211 л.с., бензин', 'Купе', 'Задний привод', 'Автомат']",Москва,Давид,https://auto.ru/cars/used/sale/infiniti/q60/1126031831-3b8c9c62/
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",2550000,2019,174000,"['2.0 л, 194 л.с., дизель', 'Седан', 'Полный привод', 'Автомат']",Москва,Иван ,https://auto.ru/cars/used/sale/mercedes/e_klasse/1130046507-23a36a9a/
Geely Coolray I,1930000,2023,27771,"['1.5 л, 150 л.с., бензин', 'Внедорожник 5 дв.', 'Передний привод', 'Робот']",Москва,Антон Игнатьев,https://auto.ru/cars/used/sale/geely/coolray/1131722599-c9bb7a40/
Bentley Continental GT Speed IV,47500000,2025,_,"['4.0 л, 782 л.с., гибрид', 'Купе', 'Полный привод', 'Робот']",Москва,GREATS | Deluxe Auto Gallery,https://auto.ru/cars/new/group/bentley/continental_gt/23989169/24046446/1129772331-f81d05bf/
